timestamp,symbol,open,high,low,close,volume,volume_buy,volume_sell,trade_count,vwap,volatility_hv,bid_ask_spread,ob_imbalance_5,ob_wall_bid,ob_wall_ask,flow_delta_1m,flow_delta_5m,large_trade_count,bid_qty_1,bid_qty_2,bid_qty_3,ask_qty_1,ask_qty_2,ask_qty_3,bid_price_1,ask_price_1,funding_rate,funding_predicted,open_interest,oi_change_1h,long_short_ratio,implied_volatility,iv_rank,delta_exposure,put_call_ratio_vol,put_call_ratio_oi,gamma_strike_1,gamma_strike_2,gamma_strike_3,theta,vega,whale_inflow,whale_outflow,news_sentiment,social_hype_index,fear_greed_index,correlation_spx,correlation_dxy,time_hour,time_day,is_weekend
2025-12-05 06:38:53.903+00,BTCUSDT,93330.67,93621.31,90889,92088.11,16769.59663,,,5199619,92463.5569062,,0.00999999999476131,0.773802131011342,,,,,,5.24063,0.00033,6e-05,0.66726,0.00096,6e-05,92088.11,92088.12,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:55.814+00,BTCUSDT,93330.68,93621.31,90889,92088.12,0.00069,,,5199623,92463.55674745,,0.00999999999476131,0.36783617483986375,,,,,,4.60646,0.00033,6e-05,2.12885,0.00024,6e-05,92088.11,92088.12,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:56.513+00,BTCUSDT,93330.68,93621.31,90889,92088.11,16769.68866,,,5199624,92463.55461831,,0.00999999999476131,0.4550327106486955,,,,,,4.891,0.00051,0.00027,1.83155,0.00048,6e-05,92088.11,92088.12,,,250132,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:38:59.88+00,BTCUSDT,93330.68,93621.31,90889,92088.11,0.00018,,,5199621,92463.55339543,,0.00999999999476131,0.45897735662388944,,,,,,4.90955,0.00075,0.00033,1.82046,0.00038,6e-05,92088.11,92088.12,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:39:00.928+00,BTCUSDT,93330.68,93621.31,90889,92088.11,0.02237,,,5199625,92463.54575194,,0.00999999999476131,-0.454596583744818,,,,,,0.90078,0.00063,0.00033,2.40477,0.00032,6e-05,92088.11,92088.12,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:39:01.879+00,BTCUSDT,93330.68,93621.31,90889,92068.52,8e-05,,,5199892,92463.53622863,,0.010000000009313226,0.8759192035366424,,,,,,4.61523,0.00012,0.24521,0.32674,0.01831,6e-05,92068.51,92068.52,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:39:02.666+00,BTCUSDT,93330.67,93621.31,90889,92068.52,0.00125,,,5200291,92463.44842906,,0.010000000009313226,0.5080308357681705,,,,,,4.30571,0.00063,0.00012,1.40314,0.08677,6e-05,92068.51,92068.52,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:39:03.815+00,BTCUSDT,93330.68,93621.31,90889,92035,0.00018,,,5200524,92463.44756786,,0.00999999999476131,0.9248108226583134,,,,,,6.40103,0.00012,0.98974,0.34291,0.00012,7e-05,92035,92035.01,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:39:04.405+00,BTCUSDT,93330.68,93621.31,90889,92035.01,0.00108,,,5200831,92463.22621408,,0.00999999999476131,0.9253903663771713,,,,,,7.62639,0.00272,0.00092,0.28336,0.01013,7e-05,92035,92035.01,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:39:05.727+00,BTCUSDT,93297.63,93621.31,90889,92035.01,0.00023,,,5200460,92462.17038495,,0.00999999999476131,0.8586949485055491,,,,,,6.52731,0.00012,0.0727,0.48743,0.01115,7e-05,92035,92035.01,,,,,,,,,,,,,,,,,,,,,,,,,
